code,label,chapter,billable
A39.1,Síndrome de Waterhouse-Friderichsen (E35.1),Ciertas enfermedades infecciosas y parasitarias,true
A39.2,Meningococemia aguda,Ciertas enfermedades infecciosas y parasitarias,true
A39.3,Meningococemia crónica,Ciertas enfermedades infecciosas y parasitarias,true
A39.4,"Meningococemia, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A39.5,Enfermedad cardíaca debida a meningococo,Ciertas enfermedades infecciosas y parasitarias,true
A39.8,Otras formas de enfermedad meningocócica:,Ciertas enfermedades infecciosas y parasitarias,true
A39.9,"Enfermedad meningocócica, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A40,Septicemia estreptocócica,Ciertas enfermedades infecciosas y parasitarias,false
A40.0,"Septicemia debida a estreptococo, grupo A",Ciertas enfermedades infecciosas y parasitarias,true
A40.1,"Septicemia debida a estreptococo, grupo B",Ciertas enfermedades infecciosas y parasitarias,true
A40.2,"Septicemia debida a estreptococo, grupo D",Ciertas enfermedades infecciosas y parasitarias,true
A40.3,Septicemia debida a Streptococcus pneumoniae,Ciertas enfermedades infecciosas y parasitarias,true
A40.8,Otras septicemias estreptocócicas,Ciertas enfermedades infecciosas y parasitarias,true
A40.9,"Septicemia estreptocócica, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A41,Otras septicemias,Ciertas enfermedades infecciosas y parasitarias,false
A41.0,Septicemia debida a Staphylococcus aureus,Ciertas enfermedades infecciosas y parasitarias,true
A41.1,Septicemia debida a otro estafilococo especificado,Ciertas enfermedades infecciosas y parasitarias,true
A41.2,Septicemia debida a estafilococo no especificado,Ciertas enfermedades infecciosas y parasitarias,true
A41.3,Septicemia debida a Haemophilus influenzae,Ciertas enfermedades infecciosas y parasitarias,true
A41.4,Septicemia debida a anaerobios,Ciertas enfermedades infecciosas y parasitarias,true
A41.5,Septicemia debida a otros organismos gramnegativos,Ciertas enfermedades infecciosas y parasitarias,true
A41.8,Otras septicemias especificadas,Ciertas enfermedades infecciosas y parasitarias,true
A41.9,"Septicemia, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A42,Actinomicosis,Ciertas enfermedades infecciosas y parasitarias,false
A42.0,Actinomicosis pulmonar,Ciertas enfermedades infecciosas y parasitarias,true
A42.1,Actinomicosis abdominal,Ciertas enfermedades infecciosas y parasitarias,true
A42.2,Actinomicosis cervicofacial,Ciertas enfermedades infecciosas y parasitarias,true
A42.7,Septicemia actinomicótica,Ciertas enfermedades infecciosas y parasitarias,true
A42.8,Otras formas de actinomicosis,Ciertas enfermedades infecciosas y parasitarias,true
A42.9,"Actinomicosis, sin otra especificación",Ciertas enfermedades infecciosas y parasitarias,true
A43,Nocardiosis,Ciertas enfermedades infecciosas y parasitarias,false
A43.0,Nocardiosis pulmonar,Ciertas enfermedades infecciosas y parasitarias,true
A43.1,Nocardiosis cutánea,Ciertas enfermedades infecciosas y parasitarias,true
A43.8,Otras formas de nocardiosis,Ciertas enfermedades infecciosas y parasitarias,true
A43.9,"Nocardiosis, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A44,Bartonelosis,Ciertas enfermedades infecciosas y parasitarias,false
A44.0,Bartonelosis sistémica,Ciertas enfermedades infecciosas y parasitarias,true
A44.1,Bartonelosis cutánea y mucocutánea,Ciertas enfermedades infecciosas y parasitarias,true
A44.8,Otras formas de bartonelosis,Ciertas enfermedades infecciosas y parasitarias,true
A44.9,"Bartonelosis, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A46,Erisipela,Ciertas enfermedades infecciosas y parasitarias,true
A48,"Otras enfermedades bacterianas, no clasificadas en otra parte",Ciertas enfermedades infecciosas y parasitarias,false
A48.0,Gangrena gaseosa,Ciertas enfermedades infecciosas y parasitarias,true
A48.1,Enfermedad de los legionarios,Ciertas enfermedades infecciosas y parasitarias,true
A48.2,Enfermedad de los legionarios no neumónica [fiebre de Pontiac],Ciertas enfermedades infecciosas y parasitarias,true
A48.3,Síndrome del choque tóxico,Ciertas enfermedades infecciosas y parasitarias,true
A48.4,Fiebre purpúrica brasileña,Ciertas enfermedades infecciosas y parasitarias,true
A48.8,Otras enfermedades bacterianas especificadas,Ciertas enfermedades infecciosas y parasitarias,true
A49,Infección bacteriana de sitio no especificado,Ciertas enfermedades infecciosas y parasitarias,false
A49.0,"Infección estafilocócica, de sitio no especificado",Ciertas enfermedades infecciosas y parasitarias,true
A49.1,"Infección estreptocócica, de sitio no especificado",Ciertas enfermedades infecciosas y parasitarias,true
A49.2,"Infección por Haemophilus influenzae, de sitio no especificado",Ciertas enfermedades infecciosas y parasitarias,true
A49.3,"Infección por micoplasma, de sitio no especificado",Ciertas enfermedades infecciosas y parasitarias,true
A49.8,"Otras infecciones bacterianas, de sitio no especificado",Ciertas enfermedades infecciosas y parasitarias,true
A49.9,"Infección bacteriana, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A50,Sífilis congénita,Ciertas enfermedades infecciosas y parasitarias,false
A50.0,"Sífilis congénita precoz, sintomática",Ciertas enfermedades infecciosas y parasitarias,true
A50.1,"Sífilis congénita precoz, latente",Ciertas enfermedades infecciosas y parasitarias,true
A50.2,"Sífilis congénita precoz, sin otra especificación",Ciertas enfermedades infecciosas y parasitarias,true
A50.3,Oculopatía sifilítica congénita tardía,Ciertas enfermedades infecciosas y parasitarias,true
A50.4,Neurosífilis congénita tardía [neurosífilis juvenil],Ciertas enfermedades infecciosas y parasitarias,true
A50.5,"Otras formas de sífilis congénita tardía, sintomática",Ciertas enfermedades infecciosas y parasitarias,true
A50.6,"Sífilis congénita tardía, latente",Ciertas enfermedades infecciosas y parasitarias,true
A50.7,"Sífilis congénita tardía, sin otra especificación",Ciertas enfermedades infecciosas y parasitarias,true
A50.9,"Sífilis congénita, sin otra especificación",Ciertas enfermedades infecciosas y parasitarias,true
A51,Sífilis precoz,Ciertas enfermedades infecciosas y parasitarias,false
A51.0,Sífilis genital primaria,Ciertas enfermedades infecciosas y parasitarias,true
A51.1,Sífilis primaria anal,Ciertas enfermedades infecciosas y parasitarias,true
A51.2,Sífilis primaria en otros sitios,Ciertas enfermedades infecciosas y parasitarias,true
A51.3,Sífilis secundaria de piel y membranas mucosas,Ciertas enfermedades infecciosas y parasitarias,true
A51.4,Otras sífilis secundarias,Ciertas enfermedades infecciosas y parasitarias,true
A51.5,"Sífilis precoz, latente",Ciertas enfermedades infecciosas y parasitarias,true
A51.9,"Sífilis precoz, sin otra especificación",Ciertas enfermedades infecciosas y parasitarias,true
A52,Sífilis tardía,Ciertas enfermedades infecciosas y parasitarias,false
A52.0,Sífilis cardiovascular,Ciertas enfermedades infecciosas y parasitarias,true
A52.1,Neurosífilis sintomática,Ciertas enfermedades infecciosas y parasitarias,true
A52.2,Neurosífilis asintomática,Ciertas enfermedades infecciosas y parasitarias,true
A52.3,Neurosífilis no especificada,Ciertas enfermedades infecciosas y parasitarias,true
A52.7,Otras sífilis tardías sintomáticas,Ciertas enfermedades infecciosas y parasitarias,true
A52.8,"Sífilis tardía, latente",Ciertas enfermedades infecciosas y parasitarias,true
A52.9,"Sífilis tardía, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A53,Otras sífilis y las no especificadas,Ciertas enfermedades infecciosas y parasitarias,false
A53.0,"Sífilis latente, no especificada como precoz o tardía",Ciertas enfermedades infecciosas y parasitarias,true
A53.9,"Sífilis, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A54,Infección gonocócica,Ciertas enfermedades infecciosas y parasitarias,false
A54.0,Infección gonocócica del tracto genitourinario inferior sin absceso periuretral o de glándula accesoria,Ciertas enfermedades infecciosas y parasitarias,true
A54.1,Infección gonocócica del tracto genitourinario inferior con absceso periuretral y de glándulas accesorias,Ciertas enfermedades infecciosas y parasitarias,true
A54.2,Pelviperitonitis gonocócica y otras infecciones gonocócicas genitourinarias,Ciertas enfermedades infecciosas y parasitarias,true
A54.3,Infección gonocócica del ojo,Ciertas enfermedades infecciosas y parasitarias,true
A54.4,Infección gonocócica del sistema osteomuscular,Ciertas enfermedades infecciosas y parasitarias,true
A54.5,Faringitis gonocócica,Ciertas enfermedades infecciosas y parasitarias,true
A54.6,Infección gonocócica del ano y del recto,Ciertas enfermedades infecciosas y parasitarias,true
A54.8,Otras infecciones gonocócicas,Ciertas enfermedades infecciosas y parasitarias,true
A54.9,"Infección gonocócica, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A55,Linfogranuloma (venéreo) por clamidias,Ciertas enfermedades infecciosas y parasitarias,true
A56,Otras enfermedades de transmisión sexual debidas a clamidias,Ciertas enfermedades infecciosas y parasitarias,false
A56.0,Infección del tracto genitourinario inferior debida a clamidias,Ciertas enfermedades infecciosas y parasitarias,true
A56.1,Infección del pelviperitoneo y otros órganos genitourinarios debida a clamidias,Ciertas enfermedades infecciosas y parasitarias,true
A56.2,"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificación",Ciertas enfermedades infecciosas y parasitarias,true
A56.3,Infección del ano y del recto debida a clamidias,Ciertas enfermedades infecciosas y parasitarias,true
A56.4,Infección de faringe debida a clamidias,Ciertas enfermedades infecciosas y parasitarias,true
A56.8,Infección de transmisión sexual de otros sitios debida a clamidias,Ciertas enfermedades infecciosas y parasitarias,true
